Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RF,Yest_Close,stock_return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,RSI,ADS_Index,NIO Yest_Close,GM Yest_Close,TM Yest_Close,F Yest_Close,RACE Yest_Close
2020-01-17,33.840667724609375,34.37799835205078,33.54399871826172,34.03333282470703,34.03333282470703,204436500,0.28,-0.64,-0.13,0.006,34.232666015625,-0.005822894156913927,32.85157533125444,32.85157533125444,32.95905902408795,31.64784029507026,1.311218729017689,68.53200246040987,-0.0961205,4.369999885559082,34.7856559753418,140.10000610351562,8.072168350219727,168.88787841796875
2020-01-21,35.349998474121094,36.571998596191406,35.227333068847656,36.47999954223633,36.47999954223633,267052500,-0.32,-0.51,-0.61,0.006,34.03333282470703,0.07189030619278934,33.15394401550293,33.15394401550293,33.500742180726164,32.00577801708256,1.4949641636436013,77.0493986011252,-0.0318078,4.670000076293945,34.83457946777344,140.0399932861328,8.063364028930664,169.40406799316406
2020-01-22,38.125999450683594,39.633331298828125,37.27333450317383,37.97066879272461,37.97066879272461,470535000,0.08,-0.26,0.01,0.006,36.47999954223633,0.0408626444406172,33.52446130605844,33.52446130605844,34.188423197956695,32.44762177824123,1.740801419715467,80.51060338187867,-0.0159329,5.170000076293945,34.23769760131836,142.3800048828125,8.107378959655762,169.60858154296875
2020-01-23,37.616668701171875,38.79999923706055,37.040000915527344,38.14666748046875,38.14666748046875,294765000,0.08,-0.05,-0.13,0.006,37.97066879272461,0.004635122144012985,33.854618889944895,33.854618889944895,34.7973838568047,32.869773311739564,1.9276105450651357,80.87729035007982,-0.00023073,4.789999961853027,34.15941619873047,141.55999755859375,8.063364028930664,168.60543823242188
2020-01-24,38.04199981689453,38.25733184814453,36.95066833496094,37.654666900634766,37.654666900634766,215304000,-0.97,-0.44,-0.29,0.006,38.14666748046875,-0.012897603180825447,34.10795542399089,34.10795542399089,35.23696586354779,33.22420987387995,2.0127559896678378,76.54181514086376,0.0153037,4.920000076293945,34.13006591796875,143.05999755859375,8.045760154724121,167.7678680419922
2020-01-27,36.132667541503906,37.62933349609375,35.95199966430664,37.201332092285156,37.201332092285156,204121500,-1.56,0.37,-0.41,0.006,37.654666900634766,-0.012039272835579573,34.30129146575928,34.30129146575928,35.53917605258431,33.518811519687745,2.020364532896565,72.67601535093789,0.0613559,4.659999847412109,33.57231521606445,142.75999450683594,7.922520160675049,167.98214721679688
2020-01-28,37.89933395385742,38.45399856567383,37.2053337097168,37.793331146240234,37.793331146240234,176827500,1.02,-0.12,-0.42,0.006,37.201332092285156,0.015913383222044553,34.506705564611096,34.506705564611096,35.885969143915986,33.83544260313608,2.050526540779906,74.48806709304776,0.0770824,4.010000228881836,32.6916618347168,141.05999755859375,7.825690269470215,163.6676483154297
2020-01-29,38.37933349609375,39.31999969482422,37.82866668701172,38.732666015625,38.732666015625,267022500,-0.1,-0.24,-0.97,0.006,37.793331146240234,0.024854513769903892,34.741481145222984,34.741481145222984,36.3239225087943,34.19819989295007,2.125722615844225,77.08483784843196,0.0930728,4.210000038146973,32.916717529296875,142.5800018310547,7.896111965179443,166.78421020507812
2020-01-30,42.16133117675781,43.391998291015625,41.20000076293945,42.72066879272461,42.72066879272461,435085500,0.34,-0.68,0.68,0.006,38.732666015625,0.10296225866535559,35.161438389828334,35.161438389828334,37.30803732170665,34.82949388552596,2.4785434361806864,84.3623327090417,0.109332,4.269999980926514,32.87758255004883,141.5500030517578,7.931920051574707,168.14768981933594
2020-01-31,42.66666793823242,43.53333282470703,42.167999267578125,43.371334075927734,43.371334075927734,235789500,-1.74,-0.42,-0.35,0.006,42.72066879272461,0.01523069047350528,35.5719331741333,35.5719331741333,38.24085220697143,35.46222278851869,2.778629418452745,85.18881877322413,0.125865,4.079999923706055,32.61338424682617,141.0800018310547,7.914017200469971,167.98214721679688
2020-02-03,44.91266632080078,52.409332275390625,44.90133285522461,52.0,52.0,705975000,0.84,0.62,-0.68,0.006,43.371334075927734,0.19894859376394902,36.69523315429687,36.35422207060314,40.35764417512967,36.68724332270249,3.6704008524271785,91.55963850748171,0.14829,3.7799999713897705,32.672096252441406,138.83999633789062,7.896111488342285,164.41757202148438
2020-02-04,58.86399841308594,64.59933471679688,55.59199905395508,59.137332916259766,59.137332916259766,914082000,1.57,-0.05,-0.68,0.006,52.0,0.1372564022357647,38.14696645736694,37.38981801813299,43.246827058380454,38.35021292222525,4.8966141361552005,93.89777873898706,0.137134,4.059999942779541,32.99500274658203,138.9199981689453,8.039350509643555,165.81028747558594
2020-02-05,54.88399887084961,56.39866638183594,46.94066619873047,48.97999954223633,48.97999954223633,726357000,0.97,0.31,1.46,0.006,59.137332916259766,-0.17175839479278726,39.032433128356935,37.89373895396357,44.12885359435828,39.13760452370756,4.991249070650724,65.91358150978013,0.116667,4.510000228881836,33.63102340698242,140.9499969482422,8.218401908874512,164.1351318359375
2020-02-06,46.66133117675781,53.05533218383789,45.79999923706055,49.930667877197266,49.930667877197266,598212000,0.27,-0.44,-0.83,0.006,48.97999954223633,0.019409316942544257,39.88849983215332,38.395277659098305,45.021440407102745,39.93709069804013,5.084349709062614,66.90765631273179,0.0868816,4.389999866485596,34.27683639526367,141.72000122070312,7.4395341873168945,163.50210571289062
2020-02-07,48.70333480834961,51.31666564941406,48.66666793823242,49.871334075927734,49.871334075927734,255952500,-0.55,-0.79,-0.03,0.006,49.930667877197266,-0.0011883238056310534,40.77759990692139,38.854319915771484,45.76757789461428,40.67296057788366,5.09461731673062,66.7767619697052,0.0477694,4.079999923706055,33.591888427734375,143.85000610351562,7.385818004608154,164.3981170654297
